gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	superfamilyKey	familyKey	subfamilyKey	tribeKey	subtribeKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
1660906394				CC_BY_NC_4_0	2015-08-24T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000678	000678		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Río Negro	General Roca		Fac. C Agrarias, Cinco Saltos																																																												Guira guira (Gmelin, 1788)								Animalia	Chordata	Aves	Cuculiformes		Cuculidae				Guira	Guira			guira			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.315Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2496462	2496462	1	44	212	1492		9309				2496461		2496462	Guira guira	Guira guira (Gmelin, 1788)	Guira guira		EML	2025-11-25T07:12:45.315Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906393				CC_BY_NC_4_0	2015-08-26T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000727	000727		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Neuquén	Collón Curá		Collón Curá																																																												Sturnella loyca (Molina, 1782)								Animalia	Chordata	Aves	Passeriformes		Icteridae				Sturnella	Sturnella			loyca			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.262Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2484272	2484272	1	44	212	729		6176				2484248		2484272	Sturnella loyca	Sturnella loyca (Molina, 1782)	Sturnella loyca		EML	2025-11-25T07:12:45.262Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906392				CC_BY_NC_4_0	2015-08-26T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000714	000714		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Río Negro	Pilcaniyeu		Ea. San Ramón																																																												Sturnella loyca (Molina, 1782)								Animalia	Chordata	Aves	Passeriformes		Icteridae				Sturnella	Sturnella			loyca			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.262Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2484272	2484272	1	44	212	729		6176				2484248		2484272	Sturnella loyca	Sturnella loyca (Molina, 1782)	Sturnella loyca		EML	2025-11-25T07:12:45.262Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906391				CC_BY_NC_4_0	2015-08-25T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000687	000687		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Mendoza	Las Heras		Quebrada de las lajas																																																												Rhinocrypta lanceolata (I.Geoffroy Saint-Hilaire, 1832)								Animalia	Chordata	Aves	Passeriformes		Rhinocryptidae				Rhinocrypta	Rhinocrypta			lanceolata			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.318Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2491022	2491022	1	44	212	729		5281				2491021		2491022	Rhinocrypta lanceolata	Rhinocrypta lanceolata (I.Geoffroy Saint-Hilaire, 1832)	Rhinocrypta lanceolata		EML	2025-11-25T07:12:45.318Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906390				CC_BY_NC_4_0	2015-08-26T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000711	000711		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Neuquén	Los Lagos		Ea. Tequel malal, N. Huapi																																																												Sturnella loyca (Molina, 1782)								Animalia	Chordata	Aves	Passeriformes		Icteridae				Sturnella	Sturnella			loyca			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.262Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2484272	2484272	1	44	212	729		6176				2484248		2484272	Sturnella loyca	Sturnella loyca (Molina, 1782)	Sturnella loyca		EML	2025-11-25T07:12:45.262Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906389				CC_BY_NC_4_0	2015-08-26T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000709	000709		Andrés Gaspar Giai															PRESENT																																									SOUTH_AMERICA				AR	Neuquén	Pilcaniyeu		Río pichileufu-paso los molles																																																												Sturnella loyca (Molina, 1782)								Animalia	Chordata	Aves	Passeriformes		Icteridae				Sturnella	Sturnella			loyca			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.262Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2484272	2484272	1	44	212	729		6176				2484248		2484272	Sturnella loyca	Sturnella loyca (Molina, 1782)	Sturnella loyca		EML	2025-11-25T07:12:45.262Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906388				CC_BY_NC_4_0	2015-08-26T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000708	000708		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Río Negro	Pilcaniyeu		Río pichileufu-paso los molles																																																												Sturnella loyca (Molina, 1782)								Animalia	Chordata	Aves	Passeriformes		Icteridae				Sturnella	Sturnella			loyca			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.263Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2484272	2484272	1	44	212	729		6176				2484248		2484272	Sturnella loyca	Sturnella loyca (Molina, 1782)	Sturnella loyca		EML	2025-11-25T07:12:45.263Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906387				CC_BY_NC_4_0	2015-08-24T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000663	000663		Andrés Gaspar Giai															PRESENT																																									SOUTH_AMERICA				AR	Neuquén	Collón Curá		Ea. Yuncón																																																												Veniliornis lignarius (Molina, 1782)								Animalia	Chordata	Aves	Piciformes		Picidae				Veniliornis	Veniliornis			lignarius			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.321Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE;TAXON_MATCH_FUZZY				false	false	5789380	5789380	1	44	212	724		9333				2478338		5789380	Veniliornis lignarius	Veniliornis lignarius (Molina, 1782)	Veliniornis lignarius		EML	2025-11-25T07:12:45.321Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906386				CC_BY_NC_4_0	2015-08-26T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000747	000747		Luis F. Giménez															PRESENT																																									SOUTH_AMERICA				AR	Mendoza	Maipú		La Primavera																																																												Pitangus sulphuratus (Linnaeus, 1766)								Animalia	Chordata	Aves	Passeriformes		Tyrannidae				Pitangus	Pitangus			sulphuratus			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.288Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	2482755	2482755	1	44	212	729		5291				2482750		2482755	Pitangus sulphuratus	Pitangus sulphuratus (Linnaeus, 1766)	Pitangus sulphuratus		EML	2025-11-25T07:12:45.288Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
1660906385				CC_BY_NC_4_0	2015-08-25T00:00:00Z								IADIZA	COI			PRESERVED_SPECIMEN				IADIZA:COI:000682	000682		Julio Rafael Contreras Roqué															PRESENT																																									SOUTH_AMERICA				AR	Mendoza	Santa Rosa		ñacuñán																																																												Falco sparverius Linnaeus, 1758								Animalia	Chordata	Aves	Falconiformes		Falconidae				Falco	Falco			sparverius			SPECIES				ACCEPTED			a0d072fc-e6be-45d7-9fa8-afa4b38b788a	AR	2025-11-25T07:12:45.316Z						CONTINENT_DERIVED_FROM_COUNTRY;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_NONE				false	false	9685907	9685907	1	44	212	7191407		5240				2480996		9685907	Falco sparverius	Falco sparverius Linnaeus, 1758	Falco sparverius		EML	2025-11-25T07:12:45.316Z	2025-11-24T06:34:24.956Z		false			false	LATIN_AMERICA	LATIN_AMERICA									LC
