gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1660907838					27/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005750	005750		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								10/12/57												Rosthramus sociabilis								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Rosthramus				sociabilis			N/A							
1660907837					01/06/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005777	005777		Andres Oscar Contreras																																																																	Argentina		La Rioja	Gobernador Gordillo		Gobernador Gordillo																																																								2/17/79												Stigmatura budytoides								Animalia	Chordata	Aves	Passeriformes		Tyrannidae				Stigmatura				budytoides										
1660907836					27/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005765	005765		Andres Oscar Contreras																																																																	Argentina		Mendoza	Las Heras		Las Heras																																																								8/17/79												Passeriformes								Animalia	Chordata	Aves	Passeriformes		Furnariidae				Leptasthenura				aegithaloides										
1660907835					04/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005755	005755		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								5/1/62												Butorides striatus								Animalia	Chordata	Aves	Pelecaniformes		Ardeidae				Butorides				striatus			N/A							
1660907834					24/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005513	005513		Julio Rafael Contreras Roqué																																																																	Argentina		Mendoza	Las Heras		Sa.Uspallata,Ea.S.Ignacio, pajaro Bobo																																																								11/8/75												Nothoprocta pentlandii								Animalia	Chordata	Aves	Tinamiformes		Tinamidae				Nothoprocta				pentlandii			N/A							
1660907833					19/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005681	005681		Ana Fernández																																																																	Argentina		Mendoza	Guaymallén		La Primavera																																																								3/17/79												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660907832					27/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005258	005258		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								8/28/58												Spizastur melanoleucus								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Spizastur				melanoleucus			N/A							
1660907831					13/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005227	005227		Federico Contino																																																																	Argentina		Jujuy	N/A		Abra Pampa																																																								2/22/64												Phalaropus tricolor								Animalia	Chordata	Aves	Charadriiformes		Scolopacidae				Phalaropus				tricolor			N/A							
1660907830					19/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005658b	005658b		Ana Fernández																																																																	Argentina		Mendoza	Guaymallén		La Primavera																																																								12/8/79												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660907829					05/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005756	005756		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								4/2/59												Nycticorax nycticorax								Animalia	Chordata	Aves	Pelecaniformes		Ardeidae				Nycticorax				nycticorax			N/A							
1660907828					09/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005763	005763		Andres Oscar Contreras																																																																	Argentina		Salta	N/A		Cuesta del Obispo																																																								1/29/79												Passeriformes								Animalia	Chordata	Aves	Passeriformes		Cotingidae				Phytotoma				rutila										
1660907827					27/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005771	005771		Julio Rafael Contreras Roqué																																																																	Argentina		Mendoza	Departamento de Las Heras		N/A																																																								N/A												Passeriformes								Animalia	Chordata	Aves	Passeriformes		Furnariidae				Cinclodes				patagonicus										
1660907826					04/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005868	005868		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								2/1/56												Butorides striatus								Animalia	Chordata	Aves	Pelecaniformes		Ardeidae				Butorides				striatus			N/A							
1660907825					09/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005758	005758		Ana Fernández																																																																	Argentina		Mendoza	Santa Rosa		Ñacuñán																																																								3/1/79												Passeriformes								Animalia	Chordata	Aves	Passeriformes		Furnariidae				Asthenes				N/A			N/A							
1660907824					27/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005776	005776		Andres Oscar Contreras																																																																	Argentina		Mendoza	Luján de Cuyo		Potrerillos																																																								2/22/79												Zonotrichia capensis								Animalia	Chordata	Aves	Passeriformes		Emberizidae				Zonotrichia				capensis										
1660907823					07/06/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005808	005808		Yolanda Ester Davies																																																																	Argentina		Mendoza	Las Heras		Las Heras																																																								12/13/75												N/A								Animalia	Chordata	Aves	Passeriformes		Furnariidae				N/A				N/A			N/A							
1660907822					16/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005754	005754		Federico Contino																																																																	Argentina		Salta	Orán		Junta ríos Tarija e Itaú																																																								11/8/55												Penelope obscura								Animalia	Chordata	Aves	Galliformes		Cracidae				Penelope				obscura			N/A							
1660907821					19/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005657b	005657b		Ana  Fernández																																																																	Argentina		Mendoza	Guaymallén		La Primavera																																																								12/9/79												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660907820					23/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:005493	005493		Federico Contino																																																																	Argentina		Jujuy	Santa Bárbara		Palma Sola																																																								3/23/58												Theristicus caudatus								Animalia	Chordata	Aves	Pelecaniformes		Threskiornithidae				Theristicus				caudatus			N/A							
